,month,interest,principal,loan balance,total_interest,monthly_payment
311,312.0,133.66,1182.75,61103.82999999995,142891.00000000003,1316.41
312,313.0,131.08,1185.33,59921.07999999995,143022.08000000002,1316.41
313,314.0,128.48,1187.93,58735.74999999995,143150.56000000003,1316.41
314,315.0,125.89,1190.52,57547.81999999995,143276.45000000004,1316.41
315,316.0,123.28,1193.13,56357.29999999995,143399.73000000004,1316.41
316,317.0,120.67,1195.74,55164.169999999955,143520.40000000005,1316.41
317,318.0,118.06,1198.35,53968.42999999996,143638.46000000005,1316.41
318,319.0,115.43,1200.98,52770.07999999996,143753.89000000004,1316.41
319,320.0,112.81,1203.6,51569.099999999955,143866.70000000004,1316.41
320,321.0,110.17,1206.24,50365.499999999956,143976.87000000005,1316.41
321,322.0,107.54,1208.87,49159.25999999996,144084.41000000006,1316.41
322,323.0,104.89,1211.52,47950.389999999956,144189.30000000008,1316.41
323,324.0,102.24,1214.17,46738.86999999996,144291.54000000007,1316.41
324,325.0,99.59,1216.82,45524.69999999996,144391.13000000006,1316.41
325,326.0,96.92,1219.49,44307.87999999996,144488.05000000008,1316.41
326,327.0,94.26,1222.15,43088.38999999996,144582.31000000008,1316.41
327,328.0,91.58,1224.83,41866.23999999996,144673.89000000007,1316.41
328,329.0,88.9,1227.51,40641.40999999996,144762.79000000007,1316.41
329,330.0,86.22,1230.19,39413.89999999996,144849.01000000007,1316.41
330,331.0,83.53,1232.88,38183.709999999955,144932.54000000007,1316.41
331,332.0,80.83,1235.58,36950.82999999996,145013.37000000005,1316.41
332,333.0,78.13,1238.28,35715.249999999956,145091.50000000006,1316.41
333,334.0,75.42,1240.99,34476.96999999996,145166.92000000007,1316.41
334,335.0,72.7,1243.71,33235.97999999996,145239.62000000008,1316.41
335,336.0,69.98,1246.43,31992.26999999996,145309.6000000001,1316.41
336,337.0,67.26,1249.15,30745.83999999996,145376.8600000001,1316.41
337,338.0,64.52,1251.89,29496.68999999996,145441.3800000001,1316.41
338,339.0,61.79,1254.62,28244.79999999996,145503.1700000001,1316.41
339,340.0,59.04,1257.37,26990.17999999996,145562.2100000001,1316.41
340,341.0,56.29,1260.12,25732.80999999996,145618.50000000012,1316.41
341,342.0,53.53,1262.88,24472.689999999962,145672.03000000012,1316.41
342,343.0,50.77,1265.64,23209.80999999996,145722.8000000001,1316.41
343,344.0,48.0,1268.41,21944.169999999962,145770.8000000001,1316.41
344,345.0,45.23,1271.18,20675.759999999962,145816.03000000012,1316.41
345,346.0,42.45,1273.96,19404.57999999996,145858.48000000013,1316.41
346,347.0,39.66,1276.75,18130.619999999963,145898.14000000013,1316.41
347,348.0,36.87,1279.54,16853.869999999963,145935.01000000013,1316.41
348,349.0,34.07,1282.34,15574.329999999962,145969.08000000013,1316.41
349,350.0,31.26,1285.15,14291.989999999962,146000.34000000014,1316.41
350,351.0,28.45,1287.96,13006.839999999962,146028.79000000015,1316.41
351,352.0,25.64,1290.77,11718.879999999961,146054.43000000017,1316.41
352,353.0,22.81,1293.6,10428.10999999996,146077.24000000017,1316.41
353,354.0,19.98,1296.43,9134.50999999996,146097.22000000018,1316.41
354,355.0,17.15,1299.26,7838.07999999996,146114.37000000017,1316.41
355,356.0,14.3,1302.11,6538.81999999996,146128.67000000016,1316.41
356,357.0,11.46,1304.95,5236.70999999996,146140.13000000015,1316.41
357,358.0,8.6,1307.81,3931.75999999996,146148.73000000016,1316.41
358,359.0,5.74,1310.67,2623.9499999999603,146154.47000000015,1316.41
359,360.0,2.87,1313.54,1313.2799999999602,146157.34000000014,1316.41
